Sistem,Titik Gangguan (%),ZL1,L1,L2,CT,PT,Zone 1,Zone2,Zone 3,Zone 4
BNM,75,5.47,19.91,68.63,1600,1400,74.68,254.238,498.151,0.41
BNM,80,5.47,19.91,68.63,1600,1400,79.658,271.187,531.361,0.438
BNM,85,5.47,19.91,68.63,1600,1400,84.637,288.136,564.572,0.465
BNM,90,5.47,19.91,68.63,1600,1400,89.615,305.085,597.782,0.492
BNM,95,5.47,19.91,68.63,1600,1400,94.594,322.035,630.992,0.52
BNM,100,5.47,19.91,68.63,1600,1400,99.573,338.984,664.202,0.547
JKT,5,6.81,31.62,33.19,400,1363.63,2.527,4.816,7.768,0.034
JKT,10,6.81,31.62,33.19,400,1363.63,5.053,9.631,15.536,0.068
JKT,15,6.81,31.62,33.19,400,1363.63,7.58,14.447,23.304,0.102
JKT,20,6.81,31.62,33.19,400,1363.63,10.106,19.263,31.072,0.136
JKT,25,6.81,31.62,33.19,400,1363.63,12.633,24.079,38.84,0.17
